filename,subjectID,date,time,reward,choice,reward2,choice2,rexploit,rexplore,choiceorder,timestamp_BanditOn,timestamp_KeyPress,timestamp_RewardOn,timestamp_ProgressbarFinish,timestamp_UpdateGameFinish,version,horizon
SocialIB_101_20200223T143615.mat,101,20200223,14:36:15,20,2,NaN,NaN,54,20,NaN,308624.6517,308625.1032,308625.8679,308627.902,308629.0732,solo,
SocialIB_101_20200223T143615.mat,101,20200223,14:36:15,78,2,NaN,NaN,54,78,NaN,308629.1229,308629.775,308630.5381,308632.5608,308633.728,solo,
SocialIB_101_20200223T143615.mat,101,20200223,14:36:15,78,1,NaN,NaN,78,83,NaN,308633.7603,308634.9429,308635.7109,308637.7308,308638.9002,solo,
SocialIB_101_20200223T143615.mat,101,20200223,14:36:15,78,1,NaN,NaN,78,9,NaN,308638.934,308640.3833,308641.1508,308643.0559,308644.1536,solo,
SocialIB_101_20200223T143615.mat,101,20200223,14:36:15,92,1,NaN,NaN,92,97,NaN,308646.2055,308647.3673,308648.1438,308650.1765,308651.3481,solo,
SocialIB_101_20200223T143615.mat,101,20200223,14:36:15,92,1,NaN,NaN,92,90,NaN,308651.3801,308651.6307,308652.3991,308654.4175,308655.5845,solo,
SocialIB_101_20200223T143615.mat,101,20200223,14:36:15,92,1,NaN,NaN,92,14,NaN,308655.6178,308656.1026,308656.8694,308658.64,308659.7044,solo,
SocialIB_101_20200223T143615.mat,101,20200223,14:36:15,61,1,NaN,NaN,61,18,NaN,308661.7242,308662.8712,308663.6428,308665.6645,308666.8318,solo,
SocialIB_101_20200223T143615.mat,101,20200223,14:36:15,61,1,NaN,NaN,61,17,NaN,308666.865,308666.9507,308667.7156,308669.735,308670.9026,solo,
SocialIB_101_20200223T143615.mat,101,20200223,14:36:15,61,1,NaN,NaN,61,2,NaN,308670.9357,308671.4472,308672.1866,308673.9896,308674.9725,solo,
SocialIB_101_20200223T143615.mat,101,20200223,14:36:15,15,2,NaN,NaN,29,15,NaN,308677.1414,308677.8865,308678.6244,308680.3972,308681.4964,solo,
SocialIB_101_20200223T143615.mat,101,20200223,14:36:15,73,1,NaN,NaN,73,69,NaN,308683.5135,308684.4713,308685.2348,308687.254,308688.4227,solo,
SocialIB_101_20200223T143615.mat,101,20200223,14:36:15,73,1,NaN,NaN,73,99,NaN,308688.4539,308688.5906,308689.3527,308691.3746,308692.542,solo,
SocialIB_101_20200223T143615.mat,101,20200223,14:36:15,73,1,NaN,NaN,73,83,NaN,308692.5755,308692.7585,308693.5279,308695.229,308696.2295,solo,
SocialIB_101_20200223T143615.mat,101,20200223,14:36:15,53,1,NaN,NaN,53,40,NaN,308698.2632,308698.5107,308699.315,308702.1047,308703.6027,solo,
SocialIB_101_20200223T143615.mat,101,20200223,14:36:15,35,2,NaN,NaN,53,35,NaN,308703.6548,308704.1988,308704.9719,308707.5933,308709.0586,solo,
SocialIB_101_20200223T143615.mat,101,20200223,14:36:15,99,2,NaN,NaN,53,99,NaN,308709.1117,308709.735,308710.5119,308712.5488,308713.7306,solo,
SocialIB_101_20200223T143615.mat,101,20200223,14:36:15,99,1,NaN,NaN,99,28,NaN,308713.7815,308714.3993,308715.1682,308717.2048,308718.3713,solo,
SocialIB_101_20200223T143615.mat,101,20200223,14:36:15,99,1,NaN,NaN,99,80,NaN,308718.4042,308718.9025,308719.6721,308721.6927,308722.8603,solo,
SocialIB_101_20200223T143615.mat,101,20200223,14:36:15,99,1,NaN,NaN,99,80,NaN,308722.8925,308724.1913,308724.9619,308726.9808,308728.1489,solo,
SocialIB_101_20200223T143615.mat,101,20200223,14:36:15,99,1,NaN,NaN,99,18,NaN,308728.2322,308730.2952,308731.0519,308732.7362,308733.7848,solo,
